title,link,summary,date
"Tesla shares surge after record deliveries","https://www.bbc.com/news/business-1","Tesla delivered a record number of vehicles in Q4, boosting investor confidence.","2026-01-08"
"Apple unveils new iPhone model","https://www.bbc.com/news/business-2","Apple's latest iPhone features advanced AI capabilities.","2026-01-07"
"Amazon expands grocery delivery service","https://www.bbc.com/news/business-3","Amazon's grocery delivery now available in 10 more cities.","2026-01-07"
"Microsoft invests in quantum computing startup","https://www.bbc.com/news/business-4","Microsoft's investment aims to accelerate quantum breakthroughs.","2026-01-06"
"Google faces antitrust lawsuit in Europe","https://www.bbc.com/news/business-5","European regulators file new antitrust charges against Google.","2026-01-06"
"Meta launches new VR headset","https://www.bbc.com/news/business-6","Meta's latest VR device targets enterprise customers.","2026-01-05"
"Netflix subscriber growth slows","https://www.bbc.com/news/business-7","Netflix reports slower growth but strong profits.","2026-01-05"
"Nvidia announces new AI chip","https://www.bbc.com/news/business-8","Nvidia's new chip promises faster AI training.","2026-01-04"
"Samsung profits beat expectations","https://www.bbc.com/news/business-9","Samsung posts higher-than-expected quarterly profits.","2026-01-04"
"Intel to build new factory in US","https://www.bbc.com/news/business-10","Intel plans a $10B investment in a new US facility.","2026-01-03"
"Uber launches electric scooter service","https://www.bbc.com/news/business-11","Uber expands its mobility offerings with e-scooters.","2026-01-03"
"Spotify acquires podcast startup","https://www.bbc.com/news/business-12","Spotify strengthens its podcast portfolio with new acquisition.","2026-01-02"
"Twitter introduces new safety features","https://www.bbc.com/news/business-13","Twitter rolls out tools to combat online abuse.","2026-01-02"
"Zoom usage declines post-pandemic","https://www.bbc.com/news/business-14","Zoom sees reduced usage as offices reopen.","2026-01-01"
"PayPal launches crypto payments","https://www.bbc.com/news/business-15","PayPal users can now pay with cryptocurrencies.","2026-01-01"
"Boeing secures major airline order","https://www.bbc.com/news/business-16","Boeing signs $5B deal with international carrier.","2025-12-31"
"Shell invests in renewable energy","https://www.bbc.com/news/business-17","Shell increases spending on wind and solar projects.","2025-12-31"
"HSBC reports strong Q4 earnings","https://www.bbc.com/news/business-18","HSBC's profits rise amid global economic recovery.","2025-12-30"
"Ford unveils electric truck","https://www.bbc.com/news/business-19","Ford's new electric truck receives positive reviews.","2025-12-30"
"Disney+ reaches 200M subscribers","https://www.bbc.com/news/business-20","Disney+ hits a major milestone in streaming wars.","2025-12-29"
"Starbucks opens 1000th store in China","https://www.bbc.com/news/business-21","Starbucks celebrates rapid expansion in Asia.","2025-12-29"
"Visa partners with fintech startup","https://www.bbc.com/news/business-22","Visa collaborates to offer new payment solutions.","2025-12-28"
"Adidas launches sustainable sneakers","https://www.bbc.com/news/business-23","Adidas introduces shoes made from recycled materials.","2025-12-28"
"Sony reveals PlayStation 6 teaser","https://www.bbc.com/news/business-24","Sony teases next-generation gaming console.","2025-12-27"
"IBM develops new AI for healthcare","https://www.bbc.com/news/business-25","IBM's AI aims to improve patient diagnostics.","2025-12-27"
